kerajaan;orang;peran;ayah;ibu;pasangan;anak;namaKerajaan;ibuKota;agama;pendahulu;penerus;tahunMulai;wikidataID;tglLahir;tglMati;saudara;kerabat;dinasti;personWikidataID;orang_PageRank;orang_Louvain_Cluster;kerajaan_PageRank;kerajaan_Louvain_Cluster
Kesultanan Lingga;Sulaiman II Badrul Alam Syah;;Abdul Rahman Muazzam Syah dari Lingga;;;;;;;;;;;http://www.wikidata.org/.well-known/genid/68d127c6441c7f5e61579ff1c1cb8030;1883-09-17T00:00:00Z;;;Wangsa Bendahara;http://www.wikidata.org/entity/Q12709895;0.0019840325587610046;15;0.002827382106839792;15
Kesultanan Aceh;Sultan Alauddin Riayat Syah;;;;;Sultan Ali Riayat Syah;;;;;;;;;1605-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q18204970;0.003451271022446526;18;0.04448712404495881;18
Kesultanan Aceh;Badrul Alam dari Aceh;;;;;Jamalul Alam dari Aceh;;;;;;;;;1702-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q18205088;0.00388845129095675;18;0.04448712404495881;18
Kesultanan Aceh;Jamalul Alam dari Aceh;;Badrul Alam dari Aceh;;;;;;;;;;;;1736-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q18206715;0.004481329217621824;18;0.04448712404495881;18
Kesultanan Aceh;Sultan Alauddin Ahmad Syah;;;;;Sultan Alauddin Johan Syah;;;;;;;;;1735-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q18204952;0.003420665937014686;18;0.04448712404495881;18
Kesultanan Aceh;Sultan Alauddin Mahmud Syah I;;Sultan Alauddin Johan Syah;;;;;;;;;;;;1781-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q18204965;0.0038423407110540803;18;0.04448712404495881;18
Kesultanan Banten;Maulana Yusuf;;Maulana Hasanuddin;;;Maulana Muhammad;;Old Banten;;Cirebon Sultanate, Demak Sultanate, Sunda Kingdom;Bantam Presidency, Bantam Residency, Batavia, Dutch East IndiesBatavia;1526.0;;http://www.wikidata.org/.well-known/genid/b946f56a82cad4c7dff1c8fcab4ad87c;1580-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q6792439;0.004394457530049878;13;0.017186793457396026;13
Kesultanan Tidore;Saifuddin of Tidore;;Gorontalo of Tidore;;;;;Tidore;Sunni Islam;;Dutch East Indies;1081.0;;;1689-10-02T00:00:00Z;Gorian (Goranja);;;http://www.wikidata.org/entity/Q90013551;0.0019840325587610046;11;0.006042975550237098;11
Kesultanan Tidore;Ngarolamo;;Mole Majimu;;;daughter (unnamed);;Tidore;Sunni Islam;;Dutch East Indies;1081.0;;1590-01-01T00:00:00Z;1639-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q91720084;0.0019840325587610046;11;0.006042975550237098;11
Kesultanan Banten;Abu an-Nasr;;Tirtayasa dari Banten;;;Abu al-Fadhl;;Old Banten;;Cirebon Sultanate, Demak Sultanate, Sunda Kingdom;Bantam Presidency, Bantam Residency, Batavia, Dutch East IndiesBatavia;1526.0;;http://www.wikidata.org/.well-known/genid/6c5c08311c650a4ac701bda3e78fda32;1687-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q4670294;0.005514173235150208;13;0.017186793457396026;13
Kesultanan Banten;Abu an-Nasr;;Tirtayasa dari Banten;;;Abu al-Mahasin;;Old Banten;;Cirebon Sultanate, Demak Sultanate, Sunda Kingdom;Bantam Presidency, Bantam Residency, Batavia, Dutch East IndiesBatavia;1526.0;;http://www.wikidata.org/.well-known/genid/6c5c08311c650a4ac701bda3e78fda32;1687-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q4670294;0.005514173235150208;13;0.017186793457396026;13
Kesultanan Banten;Tirtayasa dari Banten;;Abu al-Ma'ali;;;Abu an-Nasr;;Old Banten;;Cirebon Sultanate, Demak Sultanate, Sunda Kingdom;Bantam Presidency, Bantam Residency, Batavia, Dutch East IndiesBatavia;1526.0;;1631-01-01T00:00:00Z;1692-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q2914017;0.0044342047099317295;13;0.017186793457396026;13
Kerajaan Klungkung;Dewa Agung Istri Kanya;;Ida I Dewa Agung Putra Kusamba;I Gusti Ayu Karang;;;;;;;;;;;1868-01-01T00:00:00Z;Dewa Agung Putra Balemas;;;http://www.wikidata.org/entity/Q29394457;0.00342830571738522;1;0.014739077036949672;1
Kerajaan Klungkung;Gusti Ayu Karang;;;;Dewa Agung Putra I Kusamba;Dewa Agung Istri Kanya, Dewa Agung Putra II;;;;;;;;;1814-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q29407853;0.0019840325587610046;1;0.014739077036949672;1
Sriwijaya;Samaratungga;;Samaragrawira;;Dewi Tara;Balaputradewa, Pramodhawardhani;;;;;;;;;0832-01-01T00:00:00Z;Balaputradewa;;;http://www.wikidata.org/entity/Q3176110;0.0019840325587610046;16;0.0023213723779925196;16
Kadipaten Surabaya;Pangeran Pekik;;Jayalengkara;;;;;Surabaya;Islam;Demak Sultanate;Mataram Sultanate;;;1650-01-01T00:00:00Z;1659-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q12502604;0.003451271022446526;3;0.004918509486132048;3
Kesultanan Aceh;Muda dari Aceh;;Husain Ali Riayat Syah dari Aceh;;;;;;;;;;;1579-01-01T00:00:00Z;1579-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q19661774;0.0033052319919536044;18;0.04448712404495881;18
Majapahit;Sunan Bungkul;;;;;Dewi Wardah;Majapahit;Trowulan;;Singhasari;Demak Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;1400-01-01T00:00:00Z;1481-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q56412458;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Sunan Bungkul;;;;;Dewi Wardah;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;1400-01-01T00:00:00Z;1481-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q56412458;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Sunan Bungkul;;;;;Dewi Wardah;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;1400-01-01T00:00:00Z;1481-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q56412458;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Sunan Bungkul;;;;;;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;1400-01-01T00:00:00Z;1481-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q56412458;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Sunan Bungkul;;;;;Dewi Wardah;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;1292.0;http://www.wikidata.org/entity/Q49326;1400-01-01T00:00:00Z;1481-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q56412458;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Sunan Bungkul;;;;;Dewi Wardah;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;1400-01-01T00:00:00Z;1481-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q56412458;0.0019840325587610046;6;0.012237431168675175;6
Kesultanan Aceh;Naqiatuddin dari Aceh;;;;;Zaqiatuddin dari Aceh;;Banda Aceh, Indrapuri, Aceh Besar;Sunni Islam;Lambri, Pasai, Pidie;Dutch East Indies;1496.0;;1650-01-01T00:00:00Z;1678-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q12500116;0.003451271022446526;18;0.04448712404495881;18
Majapahit;Taming Sari;;;;;;Majapahit;Trowulan;;Singhasari;Demak Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;1450-01-01T00:00:00Z;1450-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q7362516;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Taming Sari;;;;;;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;1450-01-01T00:00:00Z;1450-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q7362516;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Taming Sari;;;;;;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;1450-01-01T00:00:00Z;1450-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q7362516;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Taming Sari;;;;;;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;1450-01-01T00:00:00Z;1450-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q7362516;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Taming Sari;;;;;;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;1292.0;http://www.wikidata.org/entity/Q49326;1450-01-01T00:00:00Z;1450-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q7362516;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Taming Sari;;;;;;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;1450-01-01T00:00:00Z;1450-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q7362516;0.0019840325587610046;6;0.012237431168675175;6
Kesultanan Aceh;Zaqiatuddin dari Aceh;;;Naqiatuddin dari Aceh;;;;Banda Aceh, Indrapuri, Aceh Besar;Sunni Islam;Lambri, Pasai, Pidie;Dutch East Indies;1496.0;;1640-01-01T00:00:00Z;1688-10-03T00:00:00Z;;;;http://www.wikidata.org/entity/Q12525432;0.003451271022446526;18;0.04448712404495881;18
Kesultanan Palembang;Syarif Ali bin Syekhabubakar;;;;;;;;;;;;;1790-01-01T00:00:00Z;1877-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q55758912;0.0019840325587610046;17;0.00367073165491858;17
Kesultanan Aceh;Salahuddin dari Aceh;;Ali Mughayat Syah dari Aceh;;;;;Banda Aceh, Indrapuri, Aceh Besar;Sunni Islam;Lambri, Pasai, Pidie;Dutch East Indies;1496.0;;;1548-11-25T00:00:00Z;;;;http://www.wikidata.org/entity/Q4264920;0.0033052319919536044;18;0.04448712404495881;18
Kesultanan Aceh;Zainal Abidin dari Aceh;;;;;;;Banda Aceh, Indrapuri, Aceh Besar;Sunni Islam;Lambri, Pasai, Pidie;Dutch East Indies;1496.0;;;1579-10-15T00:00:00Z;;;;http://www.wikidata.org/entity/Q12525393;0.0019840325587610046;18;0.04448712404495881;18
Kesultanan Aceh;Zainatuddin dari Aceh;;Raja Umar bin Sutan Muda Muhammad Muhidudin;;;;;Banda Aceh, Indrapuri, Aceh Besar;Sunni Islam;Lambri, Pasai, Pidie;Dutch East Indies;1496.0;;1641-01-01T00:00:00Z;1700-01-01T00:00:00Z;Sultanah Zaqiatuddin Inayat Syah;;;http://www.wikidata.org/entity/Q12525394;0.0019840325587610046;18;0.04448712404495881;18
Majapahit;Wikramawardhana;;;Dyah Nertaja;Kusumawardhani;Kertawijaya;Majapahit;Trowulan;;Singhasari;Demak Sultanate;;http://www.wikidata.org/entity/Q49326;1365-01-01T00:00:00Z;1429-01-01T00:00:00Z;;Hayam Wuruk;Wangsa Rajasa;http://www.wikidata.org/entity/Q12452603;0.003008657464764514;6;0.012237431168675175;6
Majapahit;Wikramawardhana;;;Dyah Nertaja;Kusumawardhani;Kertawijaya;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;;http://www.wikidata.org/entity/Q49326;1365-01-01T00:00:00Z;1429-01-01T00:00:00Z;;Hayam Wuruk;Wangsa Rajasa;http://www.wikidata.org/entity/Q12452603;0.003008657464764514;6;0.012237431168675175;6
Majapahit;Wikramawardhana;;;Dyah Nertaja;Kusumawardhani;Kertawijaya;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;;http://www.wikidata.org/entity/Q49326;1365-01-01T00:00:00Z;1429-01-01T00:00:00Z;;Hayam Wuruk;Wangsa Rajasa;http://www.wikidata.org/entity/Q12452603;0.003008657464764514;6;0.012237431168675175;6
Majapahit;Wikramawardhana;;;Dyah Nertaja;Kusumawardhani;Kertawijaya;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;;http://www.wikidata.org/entity/Q49326;1365-01-01T00:00:00Z;1429-01-01T00:00:00Z;;Hayam Wuruk;Wangsa Rajasa;http://www.wikidata.org/entity/Q12452603;0.003008657464764514;6;0.012237431168675175;6
Majapahit;Wikramawardhana;;;Dyah Nertaja;Kusumawardhani;Kertawijaya;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;;http://www.wikidata.org/entity/Q49326;1365-01-01T00:00:00Z;1429-01-01T00:00:00Z;;Hayam Wuruk;Wangsa Rajasa;http://www.wikidata.org/entity/Q12452603;0.003008657464764514;6;0.012237431168675175;6
Majapahit;Wikramawardhana;;;Dyah Nertaja;Kusumawardhani;Kertawijaya;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;;http://www.wikidata.org/entity/Q49326;1365-01-01T00:00:00Z;1429-01-01T00:00:00Z;;Hayam Wuruk;Wangsa Rajasa;http://www.wikidata.org/entity/Q12452603;0.003008657464764514;6;0.012237431168675175;6
Kesultanan Banten;Maulana Hasanuddin;;Sunan Gunung Jati;;;Maulana Yusuf;;Old Banten;;Cirebon Sultanate, Demak Sultanate, Sunda Kingdom;Bantam Presidency, Bantam Residency, Batavia, Dutch East IndiesBatavia;1526.0;;1478-01-01T00:00:00Z;1570-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q12497581;0.0039963452393025406;13;0.017186793457396026;13
Kesultanan Aceh;Alauddin bin Ahmad dari Perak;;;;janda sultan sebelumnya;putri Alauddin Mansur Syah;;;;;;;;;1585-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q17425033;0.0019840325587610046;18;0.04448712404495881;18
Kesultanan Aceh;Sultan Mahmud Syah;;Sultan Sulaiman Syah;istri biasa;Pocut Meurah Awan;;;;;;;;;;1874-01-28T00:00:00Z;;;;http://www.wikidata.org/entity/Q17510514;0.0024057073328003983;18;0.04448712404495881;18
Kesultanan Aceh;Alauddin Muhammad Syah;;Sultan Alauddin Mahmud Syah I;;Merah di Awan;;;;;;;;;1760-01-01T00:00:00Z;1795-01-01T00:00:00Z;Tuanku Cut;;;http://www.wikidata.org/entity/Q18204967;0.0019840325587610046;18;0.04448712404495881;18
Kesultanan Aceh;Jauharul Alam dari Aceh;;;;;;;;;;;;;;1726-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q18206739;0.0019840325587610046;18;0.04448712404495881;18
Kesultanan Aceh;Sultan Alauddin Jauhar al-Alam;;Sultan Alauddin Muhammad Syah;Pocut Meurah Awan;;;;;;;;;;1786-01-01T00:00:00Z;1823-12-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q18204957;0.00254626559081353;18;0.04448712404495881;18
Kesultanan Aceh;Sultan Badruddin Johan Syah;;;;;Pocut Meurah Awan;;;;;;;;;1765-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q18205086;0.0019840325587610046;18;0.04448712404495881;18
Kesultanan Aceh;Sultan Sulaiman Ali Iskandar Syah;;Sultan Alauddin Muhammad Syah Da'ud I;;Syaribanun, Tengku Seriati binti Abbas;;;;;;;;;;1857-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q18204972;0.0019840325587610046;18;0.04448712404495881;18
Kesultanan Aceh;Ali Ri'ayat Syah II;;Munawwar Syah;;;;;;;;;;;;1589-06-28T00:00:00Z;Raja Dewi;;;http://www.wikidata.org/entity/Q18211069;0.0019840325587610046;18;0.04448712404495881;18
Kesultanan Aceh;Syamsul Alam dari Aceh;;;;;;;;;;;;;;1727-01-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q18211090;0.0019840325587610046;18;0.04448712404495881;18
Kesultanan Banjar;Demang Lehman;;;;;;;Banjarmasin, Martapura, South Kalimantan, Murung Raya Regency;Sunni Islam;Negara Daha;Dutch East Indies;1526.0;;1832-01-01T00:00:00Z;1864-02-27T00:00:00Z;;;;http://www.wikidata.org/entity/Q12481200;0.0019840325587610046;5;0.022505893445362482;5
Kesultanan Aceh;Iskandar Tsani dari Aceh;;Ahmad Shah II of Pahang;;Safiatuddin dari Aceh;;;Banda Aceh, Indrapuri, Aceh Besar;Sunni Islam;Lambri, Pasai, Pidie;Dutch East Indies;1496.0;;1610-01-01T00:00:00Z;1641-02-15T00:00:00Z;;;;http://www.wikidata.org/entity/Q4264509;0.003185805830116424;18;0.04448712404495881;18
Kesultanan Banten;Abu al-Fadhl;;Abu an-Nasr;;;;;Old Banten;;Cirebon Sultanate, Demak Sultanate, Sunda Kingdom;Bantam Presidency, Bantam Residency, Batavia, Dutch East IndiesBatavia;1526.0;;http://www.wikidata.org/.well-known/genid/f9ae6c7a1c272153117e99a2bf8cadd7;1690-01-01T00:00:00Z;Abu al-Mahasin;;;http://www.wikidata.org/entity/Q57818896;0.004231908199622748;13;0.017186793457396026;13
Kesultanan Banten;Abu al-Mafakhir;;Maulana Muhammad;;;Abu al-Ma'ali;;Old Banten;;Cirebon Sultanate, Demak Sultanate, Sunda Kingdom;Bantam Presidency, Bantam Residency, Batavia, Dutch East IndiesBatavia;1526.0;;1596-01-01T00:00:00Z;1651-03-10T00:00:00Z;;;;http://www.wikidata.org/entity/Q7130931;0.004542940638905413;13;0.017186793457396026;13
Majapahit;Wikramawardhana;;;Dyah Nertaja;Kusumawardhani;Suhita;Majapahit;Trowulan;;Singhasari;Demak Sultanate;;http://www.wikidata.org/entity/Q49326;1365-01-01T00:00:00Z;1429-01-01T00:00:00Z;;Hayam Wuruk;Wangsa Rajasa;http://www.wikidata.org/entity/Q12452603;0.003008657464764514;6;0.012237431168675175;6
Majapahit;Wikramawardhana;;;Dyah Nertaja;Kusumawardhani;Suhita;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;;http://www.wikidata.org/entity/Q49326;1365-01-01T00:00:00Z;1429-01-01T00:00:00Z;;Hayam Wuruk;Wangsa Rajasa;http://www.wikidata.org/entity/Q12452603;0.003008657464764514;6;0.012237431168675175;6
Majapahit;Wikramawardhana;;;Dyah Nertaja;Kusumawardhani;Suhita;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;;http://www.wikidata.org/entity/Q49326;1365-01-01T00:00:00Z;1429-01-01T00:00:00Z;;Hayam Wuruk;Wangsa Rajasa;http://www.wikidata.org/entity/Q12452603;0.003008657464764514;6;0.012237431168675175;6
Majapahit;Wikramawardhana;;;Dyah Nertaja;Kusumawardhani;Suhita;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;;http://www.wikidata.org/entity/Q49326;1365-01-01T00:00:00Z;1429-01-01T00:00:00Z;;Hayam Wuruk;Wangsa Rajasa;http://www.wikidata.org/entity/Q12452603;0.003008657464764514;6;0.012237431168675175;6
Majapahit;Wikramawardhana;;;Dyah Nertaja;Kusumawardhani;Suhita;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;;http://www.wikidata.org/entity/Q49326;1365-01-01T00:00:00Z;1429-01-01T00:00:00Z;;Hayam Wuruk;Wangsa Rajasa;http://www.wikidata.org/entity/Q12452603;0.003008657464764514;6;0.012237431168675175;6
Majapahit;Wikramawardhana;;;Dyah Nertaja;Kusumawardhani;Suhita;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;;http://www.wikidata.org/entity/Q49326;1365-01-01T00:00:00Z;1429-01-01T00:00:00Z;;Hayam Wuruk;Wangsa Rajasa;http://www.wikidata.org/entity/Q12452603;0.003008657464764514;6;0.012237431168675175;6
Kesultanan Aceh;Syamsuddin As-Sumatrani;;Abdullah;;;;;Banda Aceh, Indrapuri, Aceh Besar;Sunni Islam;Lambri, Pasai, Pidie;Dutch East Indies;1496.0;;1570-01-01T00:00:00Z;1630-02-01T00:00:00Z;;;;http://www.wikidata.org/entity/Q61118438;0.0019840325587610046;18;0.04448712404495881;18
Kerajaan Sunda;Sri Baduga Maharaja;;;;;Rara Santang;;;;;;;;;;;;;http://www.wikidata.org/entity/Q4201860;0.003309037720312756;4;0.006292044446020286;4
Majapahit;Bondan Kajawan;;Kertabhumi;;;Ki Getas Pendawa;Majapahit;Trowulan;;Singhasari;Demak Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q17999748;0.002271909984032617;7;0.012237431168675175;6
Majapahit;Bondan Kajawan;;Kertabhumi;;;Ki Getas Pendawa;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q17999748;0.002271909984032617;7;0.012237431168675175;6
Majapahit;Bondan Kajawan;;Kertabhumi;;;Ki Getas Pendawa;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q17999748;0.002271909984032617;7;0.012237431168675175;6
Majapahit;Bondan Kajawan;;Kertabhumi;;;Ki Getas Pendawa;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q17999748;0.002271909984032617;7;0.012237431168675175;6
Majapahit;Bondan Kajawan;;Kertabhumi;;;Ki Getas Pendawa;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q17999748;0.002271909984032617;7;0.012237431168675175;6
Majapahit;Bondan Kajawan;;Kertabhumi;;;Ki Getas Pendawa;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q17999748;0.002271909984032617;7;0.012237431168675175;6
Majapahit;Bondan Kajawan;;Kertabhumi;;;Nyai Ageng Ngerang;Majapahit;Trowulan;;Singhasari;Demak Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q17999748;0.002271909984032617;7;0.012237431168675175;6
Majapahit;Bondan Kajawan;;Kertabhumi;;;Nyai Ageng Ngerang;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q17999748;0.002271909984032617;7;0.012237431168675175;6
Majapahit;Bondan Kajawan;;Kertabhumi;;;Nyai Ageng Ngerang;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q17999748;0.002271909984032617;7;0.012237431168675175;6
Majapahit;Bondan Kajawan;;Kertabhumi;;;Nyai Ageng Ngerang;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q17999748;0.002271909984032617;7;0.012237431168675175;6
Majapahit;Bondan Kajawan;;Kertabhumi;;;Nyai Ageng Ngerang;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q17999748;0.002271909984032617;7;0.012237431168675175;6
Majapahit;Bondan Kajawan;;Kertabhumi;;;Nyai Ageng Ngerang;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q17999748;0.002271909984032617;7;0.012237431168675175;6
Kerajaan Mataram;Sri Isyana Tunggawijaya;;Mpu Sindok;;Lokapala;Makutawangsawardhana;;;;;;;;;;;;;http://www.wikidata.org/entity/Q12454585;0.006194148871316151;12;0.008688047963907047;12
Kesultanan Siak Sri Inderapura;Sayyid Ismail dari Siak;;;;;;;;;;;;;;;Sultan Syarif Kasim I;;;http://www.wikidata.org/entity/Q19732020;0.0019840325587610046;2;0.007325246363259994;2
Majapahit;Bondan Kajawan;;Kertabhumi;;;Ki Ageng Wanasaba;Majapahit;Trowulan;;Singhasari;Demak Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q17999748;0.002271909984032617;7;0.012237431168675175;6
Majapahit;Bondan Kajawan;;Kertabhumi;;;Ki Ageng Wanasaba;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q17999748;0.002271909984032617;7;0.012237431168675175;6
Majapahit;Bondan Kajawan;;Kertabhumi;;;Ki Ageng Wanasaba;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q17999748;0.002271909984032617;7;0.012237431168675175;6
Majapahit;Bondan Kajawan;;Kertabhumi;;;Ki Ageng Wanasaba;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q17999748;0.002271909984032617;7;0.012237431168675175;6
Majapahit;Bondan Kajawan;;Kertabhumi;;;Ki Ageng Wanasaba;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q17999748;0.002271909984032617;7;0.012237431168675175;6
Majapahit;Bondan Kajawan;;Kertabhumi;;;Ki Ageng Wanasaba;Majapahit;Trowulan;;Singhasari;Bruneian Sultanate;1292.0;http://www.wikidata.org/entity/Q49326;;;;;;http://www.wikidata.org/entity/Q17999748;0.002271909984032617;7;0.012237431168675175;6
Kesultanan Aceh;Teuku Nanta Seutia;;Datuk Makhudum Sati;;;Teuku Rayut;;Banda Aceh, Indrapuri, Aceh Besar;Sunni Islam;Lambri, Pasai, Pidie;Dutch East Indies;1496.0;;;;;;;http://www.wikidata.org/entity/Q19744098;0.0019840325587610046;19;0.04448712404495881;18
Kesultanan Siak Sri Inderapura;Yahya dari Siak;;Sultan Ismail;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q7443095;0.0019840325587610046;2;0.007325246363259994;2
Kerajaan Bali;Mpu Kuturan;;;;;;;;;;;;;;;Mpu Baradah;;;http://www.wikidata.org/entity/Q107676358;0.0019840325587610046;6;0.00254626559081353;6
Majapahit;Mpu Kuturan;;;;;;Majapahit;Trowulan;;Singhasari;Demak Sultanate;;http://www.wikidata.org/entity/Q49326;;;Mpu Baradah;;;http://www.wikidata.org/entity/Q107676358;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Mpu Kuturan;;;;;;Majapahit;Trowulan;;Singhasari;Pagaruyung Kingdom;;http://www.wikidata.org/entity/Q49326;;;Mpu Baradah;;;http://www.wikidata.org/entity/Q107676358;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Mpu Kuturan;;;;;;Majapahit;Trowulan;;Singhasari;Blambangan Kingdom;;http://www.wikidata.org/entity/Q49326;;;Mpu Baradah;;;http://www.wikidata.org/entity/Q107676358;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Mpu Kuturan;;;;;;Majapahit;Trowulan;;Singhasari;Malacca Sultanate;;http://www.wikidata.org/entity/Q49326;;;Mpu Baradah;;;http://www.wikidata.org/entity/Q107676358;0.0019840325587610046;6;0.012237431168675175;6
Majapahit;Mpu Kuturan;;;;;;Majapahit;Trowulan;;Singhasari;Sultanate of Gowa;;http://www.wikidata.org/entity/Q49326;;;Mpu Baradah;;;http://www.wikidata.org/entity/Q107676358;0.0019840325587610046;6;0.012237431168675175;6
